code	description
1001	dorsal_highStan_lowDevi_stan_f132v5
1002	dorsal_highStan_lowDevi_stan_f132v8
1003	dorsal_highStan_lowDevi_stan_f132v11
1004	dorsal_highStan_lowDevi_stan_f140v5
1005	dorsal_highStan_lowDevi_stan_f140v8
1006	dorsal_highStan_lowDevi_stan_f140v11
1007	dorsal_highStan_lowDevi_stan_f148v5
1008	dorsal_highStan_lowDevi_stan_f148v8
1009	dorsal_highStan_lowDevi_stan_f148v11
1110	dorsal_highStan_lowDevi_devi_f74v5
1111	dorsal_highStan_lowDevi_devi_f74v8
1112	dorsal_highStan_lowDevi_devi_f74v11
1113	dorsal_highStan_lowDevi_devi_f79v5
1114	dorsal_highStan_lowDevi_devi_f79v8
1115	dorsal_highStan_lowDevi_devi_f79v11
1116	dorsal_highStan_lowDevi_devi_f83v5
1117	dorsal_highStan_lowDevi_devi_f83v8
1118	dorsal_highStan_lowDevi_devi_f83v11
2010	dorsal_lowStan_highDevi_stan_f74v5
2011	dorsal_lowStan_highDevi_stan_f74v8
2012	dorsal_lowStan_highDevi_stan_f74v11
2013	dorsal_lowStan_highDevi_stan_f79v5
2014	dorsal_lowStan_highDevi_stan_f79v8
2015	dorsal_lowStan_highDevi_stan_f79v11
2016	dorsal_lowStan_highDevi_stan_f83v5
2017	dorsal_lowStan_highDevi_stan_f83v8
2018	dorsal_lowStan_highDevi_stan_f83v11
2101	dorsal_lowStan_highDevi_devi_f132v5
2102	dorsal_lowStan_highDevi_devi_f132v8
2103	dorsal_lowStan_highDevi_devi_f132v11
2104	dorsal_lowStan_highDevi_devi_f140v5
2105	dorsal_lowStan_highDevi_devi_f140v8
2106	dorsal_lowStan_highDevi_devi_f140v11
2107	dorsal_lowStan_highDevi_devi_f148v5
2108	dorsal_lowStan_highDevi_devi_f148v8
2109	dorsal_lowStan_highDevi_devi_f148v11
3019	glottal_highStan_lowDevi_stan_f132v80
3020	glottal_highStan_lowDevi_stan_f132v83
3021	glottal_highStan_lowDevi_stan_f132v86
3022	glottal_highStan_lowDevi_stan_f140v80
3023	glottal_highStan_lowDevi_stan_f140v83
3024	glottal_highStan_lowDevi_stan_f140v86
3025	glottal_highStan_lowDevi_stan_f148v80
3026	glottal_highStan_lowDevi_stan_f148v83
3027	glottal_highStan_lowDevi_stan_f148v86
3128	glottal_highStan_lowDevi_devi_f74v80
3129	glottal_highStan_lowDevi_devi_f74v83
3130	glottal_highStan_lowDevi_devi_f74v86
3131	glottal_highStan_lowDevi_devi_f79v80
3132	glottal_highStan_lowDevi_devi_f79v83
3133	glottal_highStan_lowDevi_devi_f79v86
3134	glottal_highStan_lowDevi_devi_f83v80
3135	glottal_highStan_lowDevi_devi_f83v83
3136	glottal_highStan_lowDevi_devi_f83v86
4028	glottal_lowStan_highDevi_stan_f74v80
4029	glottal_lowStan_highDevi_stan_f74v83
4030	glottal_lowStan_highDevi_stan_f74v86
4031	glottal_lowStan_highDevi_stan_f79v80
4032	glottal_lowStan_highDevi_stan_f79v83
4033	glottal_lowStan_highDevi_stan_f79v86
4034	glottal_lowStan_highDevi_stan_f83v80
4035	glottal_lowStan_highDevi_stan_f83v83
4036	glottal_lowStan_highDevi_stan_f83v86
4119	glottal_lowStan_highDevi_devi_f132v80
4120	glottal_lowStan_highDevi_devi_f132v83
4121	glottal_lowStan_highDevi_devi_f132v86
4122	glottal_lowStan_highDevi_devi_f140v80
4123	glottal_lowStan_highDevi_devi_f140v83
4124	glottal_lowStan_highDevi_devi_f140v86
4125	glottal_lowStan_highDevi_devi_f148v80
4126	glottal_lowStan_highDevi_devi_f148v83
4127	glottal_lowStan_highDevi_devi_f148v86
